gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,TotalServices,ChargePerService,ChargesTenureRatio,TotalChargesExpected,ChargesGap,IsNewCustomer,IsLoyalCustomer,TenureScore,IsMonthToMonth,IsElectronicCheck,NoOnlineSecurity,NoTechSupport,HighRiskProfile,ChurnProbability,ActualChurn,RiskTier
1,1,1,0,1,1,2,1,0,0,0,0,2,2,0,1,2,95.1,95.1,4.0,19.02,47.55,95.1,0.0,1,0,0,1,1,1,1,1,0.9769911,1,Critical Risk
0,0,0,0,3,1,2,1,0,0,0,0,2,2,0,1,2,96.6,291.9,4.0,19.32,24.15,289.79999999999995,-2.1000000000000227,1,0,0,1,1,1,1,1,0.9702295,1,Critical Risk
0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,2,77.15,77.15,2.0,25.71666666666667,38.575,77.15,0.0,1,0,0,1,1,1,1,1,0.96986836,1,Critical Risk
0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.6,69.6,1.0,34.8,34.8,69.6,0.0,1,0,0,1,1,1,1,1,0.96744496,1,Critical Risk
0,0,0,0,1,1,2,1,0,0,0,0,2,2,0,0,3,95.65,95.65,4.0,19.130000000000003,47.825,95.65,0.0,1,0,0,1,0,1,1,0,0.9672617,1,Critical Risk
1,0,0,0,3,1,2,1,0,0,2,0,2,2,0,1,2,100.95,329.95,5.0,16.825,25.2375,302.85,-27.099999999999966,1,0,0,1,1,1,1,1,0.9672038,1,Critical Risk
1,0,0,0,7,1,2,1,0,0,2,0,2,2,0,1,0,98.05,713.0,5.0,16.341666666666665,12.25625,686.35,-26.649999999999977,0,0,1,1,0,1,1,0,0.96606356,1,Critical Risk
1,1,1,0,7,1,2,1,0,0,2,0,2,2,0,1,2,99.25,665.45,5.0,16.541666666666668,12.40625,694.75,29.299999999999955,0,0,1,1,1,1,1,1,0.966046,1,Critical Risk
1,0,0,0,9,1,2,1,0,2,0,0,2,2,0,1,1,99.3,918.75,5.0,16.55,9.93,893.6999999999999,-25.050000000000068,0,0,1,1,0,1,1,0,0.96570057,0,Critical Risk
1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.75,69.75,1.0,34.875,34.875,69.75,0.0,1,0,0,1,1,1,1,1,0.9651096,1,Critical Risk
